,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,SQ,SQ,SQ,SQ,SQ,SQ,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,
2018-01-02,1172.0,1190.0,1170.510009765625,1189.010009765625,1189.010009765625,2694500,34.70000076293945,36.2400016784668,34.68000030517578,36.16999816894531,36.16999816894531,11240500,42.540000915527344,43.07500076293945,42.314998626708984,43.064998626708984,41.3802375793457,102223600
2018-01-03,1188.300048828125,1205.489990234375,1188.300048828125,1204.199951171875,1204.199951171875,3108800,36.43000030517578,37.36000061035156,36.04999923706055,37.310001373291016,37.310001373291016,11617900,43.13249969482422,43.63750076293945,42.9900016784668,43.057498931884766,41.37303161621094,118071600
2018-01-04,1205.0,1215.8699951171875,1204.6600341796875,1209.5899658203125,1209.5899658203125,3022100,38.29999923706055,38.65999984741211,37.400001525878906,38.099998474121094,38.099998474121094,20469800,43.1349983215332,43.36750030517578,43.02000045776367,43.25749969482422,41.565216064453125,89738400
2018-01-05,1217.510009765625,1229.1400146484375,1210.0,1229.1400146484375,1229.1400146484375,3544700,38.38999938964844,41.150001525878906,38.189998626708984,41.13999938964844,41.13999938964844,31102000,43.36000061035156,43.842498779296875,43.26250076293945,43.75,42.0384521484375,94640000
2018-01-08,1236.0,1253.0799560546875,1232.030029296875,1246.8699951171875,1246.8699951171875,4279500,41.0,41.90999984741211,39.810001373291016,40.7599983215332,40.7599983215332,26626100,43.587501525878906,43.90250015258789,43.48249816894531,43.587501525878906,41.88230514526367,82271200
2018-01-09,1256.9000244140625,1259.3299560546875,1241.760009765625,1252.699951171875,1252.699951171875,3661300,40.45000076293945,41.48099899291992,39.220001220703125,40.880001068115234,40.880001068115234,14710900,43.63750076293945,43.76499938964844,43.352500915527344,43.58250045776367,41.877506256103516,86336000
2018-01-10,1245.1500244140625,1254.3299560546875,1237.22998046875,1254.3299560546875,1254.3299560546875,2686000,40.619998931884766,41.20000076293945,40.0,40.84000015258789,40.84000015258789,11265600,43.290000915527344,43.57500076293945,43.25,43.5724983215332,41.867889404296875,95839600
2018-01-11,1259.739990234375,1276.77001953125,1256.4599609375,1276.6800537109375,1276.6800537109375,3125000,41.029998779296875,43.08000183105469,41.029998779296875,42.29999923706055,42.29999923706055,21023600,43.647499084472656,43.872501373291016,43.622501373291016,43.81999969482422,42.105709075927734,74670800
2018-01-12,1273.3900146484375,1305.760009765625,1273.3900146484375,1305.199951171875,1305.199951171875,5443700,42.369998931884766,42.5,41.0099983215332,41.25,41.25,13852300,44.04499816894531,44.34000015258789,43.912498474121094,44.272499084472656,42.54050064086914,101672400
2018-01-16,1323.0,1339.93994140625,1292.300048828125,1304.8599853515625,1304.8599853515625,7220700,41.150001525878906,41.25,38.66999816894531,39.31999969482422,39.31999969482422,17333900,44.474998474121094,44.84749984741211,44.03499984741211,44.04750061035156,42.324310302734375,118263600
2018-01-17,1312.239990234375,1314.0,1280.8800048828125,1295.0,1295.0,5253800,39.31999969482422,40.310001373291016,39.220001220703125,40.060001373291016,40.060001373291016,10952300,44.037498474121094,44.8125,43.76750183105469,44.775001525878906,43.02334976196289,137547200
2018-01-18,1293.949951171875,1304.5999755859375,1284.02001953125,1293.3199462890625,1293.3199462890625,4026900,40.290000915527344,41.130001068115234,40.02000045776367,40.27000045776367,40.27000045776367,9836400,44.842498779296875,45.025001525878906,44.5625,44.814998626708984,43.06178665161133,124773600
2018-01-19,1312.0,1313.0,1292.989990234375,1294.5799560546875,1294.5799560546875,4578500,42.16999816894531,42.97999954223633,41.65999984741211,42.560001373291016,42.560001373291016,24141600,44.65250015258789,44.89500045776367,44.352500915527344,44.6150016784668,42.86960983276367,129700400
2018-01-22,1297.1700439453125,1327.449951171875,1296.6600341796875,1327.31005859375,1327.31005859375,4140100,42.79999923706055,45.439998626708984,42.7599983215332,45.290000915527344,45.290000915527344,27197400,44.32500076293945,44.44499969482422,44.150001525878906,44.25,42.51889419555664,108434400
2018-01-23,1338.0899658203125,1364.9000244140625,1337.3399658203125,1362.5400390625,1362.5400390625,5169300,45.060001373291016,45.66999816894531,43.5,45.0099983215332,45.0099983215332,19998000,44.32500076293945,44.86000061035156,44.20500183105469,44.2599983215332,42.52849578857422,130756400
2018-01-24,1374.8199462890625,1388.1600341796875,1338.0,1357.510009765625,1357.510009765625,6807500,45.220001220703125,45.81999969482422,43.040000915527344,44.31999969482422,44.31999969482422,13960500,44.3125,44.32500076293945,43.29999923706055,43.55500030517578,41.85107421875,204420400
2018-01-25,1368.0,1378.3399658203125,1357.6199951171875,1377.949951171875,1377.949951171875,4753000,44.83000183105469,45.4900016784668,44.029998779296875,45.119998931884766,45.119998931884766,9049900,43.627498626708984,43.73749923706055,42.63249969482422,42.77750015258789,41.1039924621582,166116000
2018-01-26,1392.010009765625,1402.530029296875,1380.9100341796875,1402.050048828125,1402.050048828125,4857300,45.5,46.25,44.849998474121094,45.970001220703125,45.970001220703125,11110100,43.0,43.0,42.51499938964844,42.877498626708984,41.20008087158203,156572000
2018-01-29,1409.1800537109375,1431.3900146484375,1400.43994140625,1417.6800537109375,1417.6800537109375,5701900,46.08000183105469,46.249000549316406,44.900001525878906,45.43000030517578,45.43000030517578,7642500,42.540000915527344,42.540000915527344,41.76750183105469,41.9900016784668,40.34729766845703,202561600
2018-01-30,1403.1700439453125,1439.25,1392.0,1437.8199462890625,1437.8199462890625,5871900,44.41999816894531,45.939998626708984,42.560001373291016,45.52000045776367,45.52000045776367,10229300,41.38249969482422,41.842498779296875,41.17499923706055,41.74250030517578,40.10948181152344,184192800
2018-01-31,1451.300048828125,1472.5799560546875,1450.0400390625,1450.8900146484375,1450.8900146484375,6424700,45.96900177001953,47.5,45.79999923706055,46.90999984741211,46.90999984741211,15334400,41.717498779296875,42.11000061035156,41.625,41.85749816894531,40.21998977661133,129915600
2018-02-01,1445.0,1459.8800048828125,1385.1400146484375,1390.0,1390.0,9113800,45.75,46.709999084472656,44.02000045776367,44.45000076293945,44.45000076293945,15925100,41.79249954223633,42.154998779296875,41.689998626708984,41.94499969482422,40.3040657043457,188923200
2018-02-02,1477.3900146484375,1498.0,1414.0,1429.949951171875,1429.949951171875,11125700,43.900001525878906,45.349998474121094,43.349998474121094,43.61000061035156,43.61000061035156,14284100,41.5,41.70000076293945,40.025001525878906,40.125,38.55526351928711,346375200
2018-02-05,1402.6199951171875,1458.97998046875,1320.719970703125,1390.0,1390.0,11495000,42.040000915527344,44.22999954223633,40.119998931884766,41.02000045776367,41.02000045776367,16631600,39.775001525878906,40.970001220703125,39.0,39.122501373291016,37.59197998046875,290954000
2018-02-06,1361.4599609375,1443.989990234375,1351.7900390625,1442.8399658203125,1442.8399658203125,11066800,39.91999816894531,41.97999954223633,39.099998474121094,41.61000061035156,41.61000061035156,20298800,38.70750045776367,40.93000030517578,38.5,40.75749969482422,39.16301727294922,272975200
2018-02-07,1449.0,1460.989990234375,1415.1500244140625,1416.780029296875,1416.780029296875,7162700,42.0099983215332,42.790000915527344,41.5,41.66999816894531,41.66999816894531,11060600,40.772499084472656,40.849998474121094,39.76750183105469,39.8849983215332,38.324649810791016,206434400
2018-02-08,1429.6800537109375,1433.75,1349.93994140625,1350.5,1350.5,8578600,42.849998474121094,42.849998474121094,39.5,39.5,39.5,16509100,40.0724983215332,40.25,38.75749969482422,38.787498474121094,37.270084381103516,217562000
2018-02-09,1373.489990234375,1383.5,1265.9300537109375,1339.5999755859375,1339.5999755859375,14141500,39.970001220703125,40.56999969482422,36.7599983215332,39.56999969482422,39.56999969482422,18780000,39.26750183105469,39.47249984741211,37.560001373291016,39.102500915527344,37.7259521484375,282690400
2018-02-12,1364.6700439453125,1393.81005859375,1344.010009765625,1386.22998046875,1386.22998046875,6738900,39.810001373291016,40.459999084472656,38.79999923706055,39.91999816894531,39.91999816894531,9912800,39.625,40.97249984741211,39.377498626708984,40.6775016784668,39.245506286621094,243278000
2018-02-13,1385.9300537109375,1419.719970703125,1383.530029296875,1414.510009765625,1414.510009765625,5917900,39.849998474121094,42.68000030517578,39.7400016784668,42.11000061035156,42.11000061035156,13293800,40.48749923706055,41.1875,40.412498474121094,41.084999084472656,39.63865661621094,130196800
2018-02-14,1406.25,1452.06005859375,1403.3599853515625,1451.050048828125,1451.050048828125,5959200,41.810001373291016,42.4900016784668,40.720001220703125,41.849998474121094,41.849998474121094,16185700,40.7599983215332,41.8849983215332,40.720001220703125,41.842498779296875,40.36949157714844,162579600
2018-02-15,1466.8900146484375,1468.93994140625,1436.8399658203125,1461.760009765625,1461.760009765625,5652700,42.29999923706055,45.040000915527344,42.220001220703125,44.290000915527344,44.290000915527344,19642300,42.4474983215332,43.272499084472656,42.25,43.247501373291016,41.72503662109375,204588800
2018-02-16,1457.3699951171875,1465.800048828125,1446.56005859375,1448.68994140625,1448.68994140625,4472600,44.029998779296875,45.189998626708984,43.540000915527344,44.11000061035156,44.11000061035156,10247800,43.09000015258789,43.70500183105469,42.942501068115234,43.10749816894531,41.589962005615234,160704400
2018-02-20,1446.489990234375,1488.77001953125,1446.489990234375,1468.3499755859375,1468.3499755859375,6499200,44.560001373291016,46.439998626708984,44.36000061035156,44.93000030517578,44.93000030517578,15747000,43.01250076293945,43.564998626708984,42.85499954223633,42.962501525878906,41.450069427490234,135722000
2018-02-21,1485.0,1503.489990234375,1478.9200439453125,1482.9200439453125,1482.9200439453125,6304400,45.849998474121094,45.900001525878906,43.79999923706055,44.099998474121094,44.099998474121094,11365400,43.20750045776367,43.529998779296875,42.752498626708984,42.76750183105469,41.26193618774414,149886400
2018-02-22,1495.3599853515625,1502.5400390625,1475.760009765625,1485.3399658203125,1485.3399658203125,4858100,44.369998931884766,45.0,44.0099983215332,44.900001525878906,44.900001525878906,7078200,42.95000076293945,43.48749923706055,42.9275016784668,43.125,41.606849670410156,123967600
2018-02-23,1495.3399658203125,1500.0,1486.5,1500.0,1500.0,4418100,45.02000045776367,45.459999084472656,44.220001220703125,44.86000061035156,44.86000061035156,7901400,43.41749954223633,43.912498474121094,43.3849983215332,43.875,42.33045196533203,135249600
2018-02-26,1509.199951171875,1522.8399658203125,1507.0,1521.949951171875,1521.949951171875,4955000,45.5,46.849998474121094,45.25,46.54999923706055,46.54999923706055,13615200,44.087501525878906,44.84749984741211,44.0525016784668,44.74250030517578,43.16740417480469,152648800
2018-02-27,1524.5,1526.780029296875,1507.2099609375,1511.97998046875,1511.97998046875,4808800,46.560001373291016,47.11000061035156,45.40999984741211,45.90999984741211,45.90999984741211,19449200,44.775001525878906,45.119998931884766,44.540000915527344,44.59749984741211,43.02751541137695,155712400
2018-02-28,1519.510009765625,1528.699951171875,1512.0,1512.449951171875,1512.449951171875,4515000,45.900001525878906,48.0,45.54999923706055,46.04999923706055,46.04999923706055,24022000,44.814998626708984,45.154998779296875,44.51250076293945,44.529998779296875,42.962379455566406,151128400
2018-03-01,1513.5999755859375,1518.489990234375,1465.0,1493.449951171875,1493.449951171875,6835200,46.0,46.25,44.290000915527344,46.0099983215332,46.0099983215332,17570500,44.6349983215332,44.94499969482422,43.165000915527344,43.75,42.20984649658203,195208000
2018-03-02,1469.0999755859375,1501.050048828125,1455.010009765625,1500.25,1500.25,6587600,45.34000015258789,46.119998931884766,45.0099983215332,46.02000045776367,46.02000045776367,11010500,43.20000076293945,44.07500076293945,43.11249923706055,44.0525016784668,42.5016975402832,153816000
2018-03-05,1494.239990234375,1525.3800048828125,1481.0,1523.6099853515625,1523.6099853515625,5233900,45.459999084472656,50.5,45.439998626708984,50.41999816894531,50.41999816894531,30623200,43.8025016784668,44.435001373291016,43.630001068115234,44.20500183105469,42.648826599121094,113605600
2018-03-06,1533.199951171875,1542.1300048828125,1528.0,1537.6400146484375,1537.6400146484375,4561700,49.54999923706055,50.0099983215332,47.810001373291016,49.599998474121094,49.599998474121094,20827200,44.477500915527344,44.5625,44.032501220703125,44.16749954223633,42.61265563964844,95154000
2018-03-07,1526.52001953125,1545.9000244140625,1522.510009765625,1545.0,1545.0,4174100,48.70000076293945,51.88999938964844,48.54999923706055,50.720001220703125,50.720001220703125,18318000,43.73500061035156,43.962501525878906,43.567501068115234,43.75749969482422,42.21707534790039,126814000
2018-03-08,1550.0,1554.8800048828125,1545.25,1551.8599853515625,1551.8599853515625,3862600,50.720001220703125,52.970001220703125,50.70000076293945,52.25,52.25,16961300,43.869998931884766,44.279998779296875,43.76750183105469,44.23500061035156,42.677764892578125,95096400
2018-03-09,1563.5,1578.93994140625,1559.0799560546875,1578.8900146484375,1578.8900146484375,4534300,52.70000076293945,53.220001220703125,52.150001525878906,52.4900016784668,52.4900016784668,11545300,44.4900016784668,45.0,44.34749984741211,44.994998931884766,43.411014556884766,128740800
2018-03-12,1592.5999755859375,1605.3299560546875,1586.699951171875,1598.3900146484375,1598.3900146484375,5174200,52.619998931884766,53.790000915527344,52.099998474121094,53.189998626708984,53.189998626708984,12482100,45.0724983215332,45.59749984741211,45.0525016784668,45.43000030517578,43.83069610595703,128828400
2018-03-13,1615.9599609375,1617.5400390625,1578.010009765625,1588.1800537109375,1588.1800537109375,6531900,53.400001525878906,53.64699935913086,50.7599983215332,51.83000183105469,51.83000183105469,13500400,45.647499084472656,45.875,44.810001373291016,44.99250030517578,43.40860366821289,126774000
2018-03-14,1597.0,1606.43994140625,1590.8900146484375,1591.0,1591.0,4259400,53.20000076293945,54.84000015258789,53.20000076293945,54.61000061035156,54.61000061035156,22043000,45.08000183105469,45.130001068115234,44.45249938964844,44.61000061035156,43.03956604003906,117473600
2018-03-15,1595.0,1596.9100341796875,1578.1099853515625,1582.3199462890625,1582.3199462890625,4069700,55.099998474121094,55.540000915527344,54.09000015258789,54.84000015258789,54.84000015258789,13391000,44.625,45.060001373291016,44.51750183105469,44.662498474121094,43.0902214050293,90975200
2018-03-16,1583.449951171875,1589.43994140625,1567.5,1571.6800537109375,1571.6800537109375,5425000,54.52000045776367,55.04999923706055,53.900001525878906,54.88999938964844,54.88999938964844,10818300,44.662498474121094,44.779998779296875,44.404998779296875,44.505001068115234,42.938262939453125,157618800
2018-03-19,1554.530029296875,1561.6600341796875,1525.3499755859375,1544.9300537109375,1544.9300537109375,6580800,54.779998779296875,55.88600158691406,53.150001525878906,54.58000183105469,54.58000183105469,16600600,44.33000183105469,44.36750030517578,43.415000915527344,43.82500076293945,42.28219985961914,133787200
2018-03-20,1550.3399658203125,1587.0,1545.4100341796875,1586.510009765625,1586.510009765625,4581600,54.38999938964844,58.069000244140625,54.29999923706055,57.689998626708984,57.689998626708984,17238200,43.810001373291016,44.20000076293945,43.73500061035156,43.810001373291016,42.267730712890625,78597600
2018-03-21,1586.449951171875,1590.0,1563.1700439453125,1581.8599853515625,1581.8599853515625,4750800,57.810001373291016,58.459999084472656,56.52000045776367,57.09000015258789,57.09000015258789,13534300,43.7599983215332,43.772499084472656,42.814998626708984,42.817501068115234,41.31017303466797,148219600
2018-03-22,1565.469970703125,1573.8499755859375,1542.4000244140625,1544.9200439453125,1544.9200439453125,6320600,56.77000045776367,56.77000045776367,54.27000045776367,55.15999984741211,55.15999984741211,15704100,42.5,43.16999816894531,42.150001525878906,42.212501525878906,40.72646713256836,165963200
2018-03-23,1539.010009765625,1549.02001953125,1495.3599853515625,1495.56005859375,1495.56005859375,8006000,54.060001373291016,54.060001373291016,51.119998931884766,51.66999816894531,51.66999816894531,20521900,42.09749984741211,42.47999954223633,41.23500061035156,41.23500061035156,39.78337860107422,164115200
